,,,,,,,,
,,,,internet ,upload,download,,
,,,,,270mbps,130mbps,,
,,,,,,,,
,,,,,,,,
sony Xperia model m(2),,WebXR,,,,,,
Sessions,Avg FPS,,sent,Tranist,recived,total latency ms,cpu,max fps
1,86.1826177,,3.01,307.8,750,1060,,12.62476822
2,97.54702655,,1.19,331.4,809.05,1141,,37.5965616
3,86.32973036,,0.3,329.92,820,1150,,31.59531607
4,106.5792822,,0.4,230.82,804.03,1035,,27.72294948
5,96.70690738,,0.36,334.5,818.09,1152,,33.79942515
6,82.50099455,,4.34,317.2,931,1252,,32.24809777
7,69.02689244,,0.41,313.72,1086,1400,,30.41767267
8,79.89938986,,1.54,315.26,897.54,1124,,31.273771
9,45.81943267,,0.61,323.47,1769.91,2093,,16.75147099
10,82.87549303,,0.44,296.67,593,890,,33.502007
11,49.19991831,,0.43,369.88,994,1364,,20.66398124
12,39.50125751,,2.04,337.64,654.23,993,,21.95347028
13,54.49020394,,3.04,349.84,1233,1585,,74.49020394
14,41.39679578,,2.83,338.44,848.74,1190,,41.39679578
15,94.92101598,,1.21,301.56,1081,1383,,35.49449115
16,60.42794831,,0.33,296.59,1382.7,1679,,21.3677355
17,34.62580139,,0.76,333.62,1809,2143,,21.86442022
18,69.08715334,,0.47,308.7,1818.9,2128,,27.30623923
19,48.49086018,,0.57,299.98,1780,2080,,28.57695699
20,81.88396305,,0.67,307.78,1282.9,1591,,21.28544143
Avg,70,,,,Avg:,1421,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
oneplus nord ce 2 lite ,model 2,WebXR,,,,,,
sno,sent ,transit,recived,Total Latency in ms,,max fps,avg fps,
1,0.71,270.32,1450,1721,,,,
2,2.11,309.95,1490,1802,,,,
3,2.85,465.92,659,1127,,,,
4,3.05,288.6,790,1081,,,,
5,1.77,480,648,1029,,,,
6,1.77,300.69,625,927,,,,
7,1.42,266.3,1620,1887,,,,
8,3.78,289.58,656,949,,,,
9,0.96,294.69,732,1027,,,,
10,2.47,272.56,508,783,,,,
11,2.25,268.97,740,1011,,,,
12,2.34,259.98,1890,2152,,,,
13,2.45,287.11,483,772,,,,
14,0.71,365.35,1200,1566,,,,
15,1.71,465.35,900,1367,,,,
16,1.36,312.69,1430,1744,,,,
17,1.19,274.87,740,1016,,,,
18,3.4,802.89,1100,1906,,,,
19,3.04,282.33,670,955,,,,
20,3.3,280.89,1080,1364,,,,
21,,,Avg,1309,,,,
22,,,,,,,,
,,,,,,,,
,,network speed,upload,down,,,,
,,,120mbps,130mbps,,,,
arcore Sony ,network,model 2,,,,,,
sno,sent,recived,Latency in ms,,,,,
1,5.22,7.144,1424,,,,,
2,16.93,17.903,1003,,,,,
3,14.37,16.76,1509,,,,,
4,7.64,8.65,1010,,,,,
5,2.03,3.04,1090,,,,,
6,12.21,13.79,1480,,,,,
7,9.01,9.98,970,,,,,
8,7.27,8.2,930,,,,,
9,22.79,23.72,930,,,,,
10,7.36,8.32,960,,,,,
11,3.83,4.65,820,,,,,
12,23.37,24.33,960,,,,,
13,5.21,7.67,1540,,,,,
14,14.32,15.179,859,,,,,
15,14.72,15.69,970,,,,,
16,23.62,24.46,840,,,,,
17,13.06,13.93,870,,,,,
18,22.89,23.84,950,,,,,
19,10.27,11.15,880,,,,,
20,12.87,13.64,770,,,,,
,,Avg:,1038,,,,,
,,,,,,,,
,,,,,,,,
oneplus ,model 2 ,WebXR,,,,,,
sno,avg fps,maxfps,,,,,,
1,52.31894024,10.22622862,,,,,,
2,82.39621373,85946302,,,,,,
3,103.5907686,42.35129117,,,,,,
4,93.44328992,36.39900163,,,,,,
5,89.3635723,37.0594841,,,,,,
6,49.75620702,20.57412508,,,,,,
7,102.2231147,126.7728389,,,,,,
8,56.5218883,31.35482211,,,,,,
9,50.27330074,22.84080085,,,,,,
10,80.15881706,30.14138207,,,,,,
11,80.15881706,30.14138207,,,,,,
12,97.53174241,16.70784147,,,,,,
13,86.76660774,14.45408726,,,,,,
14,103.3317675,39.38534289,,,,,,
15,55.12560645,20.6475369,,,,,,
16,64.95794363,28.416996,,,,,,
17,63.53174241,27.38534289,,,,,,
18,67.30074484,31.21098277,,,,,,
19,104.0967158,28.024738,,,,,,
20,43.17058412,13.71539279,,,,,,
Avg,76,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
oneplus  model 2 ,network ,Arcore,,,,,,
sno ,sent,recived,Latency ms,,,,,
1,9.245,11.741,2496,,1496,,,
2,6.125,7.641,1516,,930,,,
3,13.272,14.667,1390,,1190,,,
4,4.068,6.119,2050,,1050,,,
5,21.175,22.738,980,,980,,,
6,11.232,12.163,930,,930,,,
7,10.596,11.812,1220,,1220,,,
8,25.288,27.333,2050,,1050,,,
9,32.743,34.395,1670,,1270,,,
10,16.34,18.325,1980,,1180,,,
11,27.332,28.854,1513,,890,,,
12,1.77,4.324,2550,,1256,,,
13,12.514,14.188,1509,,1342,,,
14,8.997,10.905,2000,,1000,,,
15,3.672,5.186,1500,,960,,,
16,5.253,6.29,1040,,1040,,,
17,4.028,6.517,2490,,1390,,,
18,3.713,7.168,3998,,1198,,,
19,4.643,7.69,3050,,1050,,,
20,3.045,5.663,2590,,1234,,,
,,AVG,,,1132,,,